900,2100,900,2100,RoomTag,1.00,
1250,1857,1250,1857,RoomTag,1.00,
2018,1914,2018,1914,RoomTag,1.00,
3158,2109,3157,2109,RoomTag,0.92,The anchor point (2545, 1700) falls within the large open floor area in the central portion of the floorplan. This location is well away from walls, doors, windows, and existing fixtures. The label dimensions (153×46 px) fit comfortably in this spacious room without overlapping any architectural elements or creating conflicts. The position matches the tag-specific requirement to place room labels in the centre of the room interior.
3659,1661,3659,1661,RoomTag,1.00,
3404,3624,3404,3624,RoomTag,1.00,
4531,1647,4531,1647,RoomTag,1.00,
4800,2100,4800,2100,RoomTag,1.00,
4677,2709,4677,2709,RoomTag,1.00,
5700,1650,5700,1650,RoomTag,1.00,
4500,3200,4500,3200,RoomTag,1.00,
6577,2935,6577,2935,RoomTag,1.00,
1250,1230,1250,1230,WindowTag,1.00,
1620,1230,1620,1230,WindowTag,1.00,
1868,1230,1868,1230,WindowTag,1.00,
2086,1230,2086,1230,WindowTag,1.00,
3532,1220,3532,1220,WindowTag,1.00,
3846,1220,3846,1220,WindowTag,1.00,
4470,1220,4470,1220,WindowTag,1.00,
4784,1220,4784,1220,WindowTag,1.00,
5879,1220,5879,1220,WindowTag,1.00,
6192,1220,6192,1220,WindowTag,1.00,
3150,3871,3150,3871,WindowTag,1.00,
3393,3871,3393,3871,WindowTag,1.00,
3637,3871,3637,3871,WindowTag,1.00,
3882,3871,3882,3871,WindowTag,1.00,
4381,3871,4381,3871,WindowTag,1.00,
4524,3871,4524,3871,WindowTag,1.00,
4669,3871,4669,3871,WindowTag,1.00,
3100,1265,3100,1265,DoorTag,1.00,
3238,2167,3238,2167,DoorTag,1.00,
3353,2715,3353,2715,DoorTag,1.00,
3533,2967,3533,2967,DoorTag,1.00,
3737,2794,3737,2794,DoorTag,1.00,
3932,2552,3932,2552,DoorTag,1.00,
3712,2280,3712,2280,DoorTag,1.00,
4169,2561,4169,2561,DoorTag,1.00,
4259,2263,4259,2263,DoorTag,1.00,
4963,2289,4963,2289,DoorTag,1.00,
5250,1300,5250,1300,DoorTag,1.00,
5788,2400,5788,2400,DoorTag,1.00,
5647,2554,5647,2554,DoorTag,1.00,
6490,2792,6490,2792,DoorTag,1.00,
6634,2636,6634,2636,DoorTag,1.00,
778,1722,778,1722,WallTag,1.00,
1261,2150,1261,2150,WallTag,1.00,
1478,2367,1478,2367,WallTag,1.00,
2584,1353,2584,1353,WallTag,1.00,
2781,1437,2781,1437,WallTag,1.00,
3000,2250,3000,2250,WallTag,1.00,
3150,2500,3150,2500,WallTag,1.00,
3389,2675,3389,2675,WallTag,1.00,
3400,1755,3400,1755,WallTag,1.00,
3000,3200,3000,3200,WallTag,1.00,
3520,3977,3520,3977,WallTag,1.00,
4118,3363,4118,3363,WallTag,1.00,
4111,1930,4111,1930,WallTag,1.00,
4685,2368,4685,2368,WallTag,1.00,
5012,2375,5012,2375,WallTag,1.00,
5005,1567,5005,1567,WallTag,1.00,
5005,3408,5005,3408,WallTag,1.00,
5647,2836,5647,2836,WallTag,1.00,
5219,2475,5219,2475,WallTag,1.00,
5867,2513,5867,2513,WallTag,1.00,
6450,1606,6450,1606,WallTag,1.00,
6417,1929,6417,1929,WallTag,1.00,
6593,2663,6593,2663,WallTag,1.00,
6715,2683,6715,2683,WallTag,1.00,
6376,3361,6376,3361,WallTag,1.00,
7293,2733,7293,2733,WallTag,1.00,
