900,2100,900,2100,RoomTag
1250,1857,1250,1857,RoomTag
2018,1914,2018,1914,RoomTag
3158,2109,3110,2050,RoomTag
3659,1661,3659,1661,RoomTag
3404,3624,3404,3624,RoomTag
4531,1647,4531,1647,RoomTag
4800,2100,4800,2100,RoomTag
4677,2709,4677,2709,RoomTag
5700,1650,5700,1650,RoomTag
4500,3200,4524,3172,RoomTag
6577,2935,6608,2933,RoomTag
1250,1230,1267,1213,WindowTag
1620,1230,1620,1230,WindowTag
1868,1230,1868,1230,WindowTag
2086,1230,2093,1223,WindowTag
3532,1220,3532,1220,WindowTag
3846,1220,3846,1220,WindowTag
4470,1220,4470,1220,WindowTag
4784,1220,4783,1219,WindowTag
5879,1220,5879,1220,WindowTag
6192,1220,6192,1220,WindowTag
3150,3871,3150,3871,WindowTag
3393,3871,3393,3871,WindowTag
3637,3871,3637,3871,WindowTag
3882,3871,3863,3852,WindowTag
4381,3871,4381,3871,WindowTag
4524,3871,4524,3871,WindowTag
4669,3871,4669,3871,WindowTag
3100,1265,3100,1265,DoorTag
3238,2167,3198,2236,DoorTag
3353,2715,3353,2715,DoorTag
3533,2967,3486,2920,DoorTag
3737,2794,3694,2751,DoorTag
3932,2552,3883,2601,DoorTag
3712,2280,3769,2258,DoorTag
4169,2561,4140,2601,DoorTag
4259,2263,4208,2245,DoorTag
4963,2289,4910,2269,DoorTag
5250,1300,5254,1250,DoorTag
5788,2400,5774,2450,DoorTag
5647,2554,5600,2601,DoorTag
6490,2792,6449,2737,DoorTag
6634,2636,6634,2636,DoorTag
778,1722,778,1722,WallTag
1261,2150,1238,2127,WallTag
1478,2367,1502,2343,WallTag
2584,1353,2558,1379,WallTag
2781,1437,2816,1456,WallTag
3000,2250,3043,2264,WallTag
3150,2500,3179,2471,WallTag
3389,2675,3406,2642,WallTag
3400,1755,3415,1740,WallTag
3000,3200,3043,3157,WallTag
3520,3977,3463,4034,WallTag
4118,3363,4118,3363,WallTag
4111,1930,4142,1899,WallTag
4685,2368,4710,2343,WallTag
5012,2375,5037,2474,WallTag
5005,1567,5037,1535,WallTag
5005,3408,5037,3453,WallTag
5647,2836,5625,2858,WallTag
5219,2475,5238,2456,WallTag
5867,2513,5874,2498,WallTag
6450,1606,6470,1558,WallTag
6417,1929,6451,1955,WallTag
6593,2663,6686,2720,WallTag
6715,2683,6813,2585,WallTag
6376,3361,6293,3278,WallTag
7293,2733,7293,2733,WallTag
